cohort,anchor_seed,explorer_seeds,group,episode_seed,step,agent_index,role,explorer_disagreement_js,pairwise_explorer_js,centroid_anchor_tv,centroid_anchor_js,candidate_signal
A,71011,71011|71012|71013,N,880000,0,0,0,0.2542497217655182,0.5089538097381592,0.9637746810913086,0.60831618309021,False
A,71011,71011|71012|71013,N,880000,0,1,1,0.15377263724803925,0.3561255633831024,0.8232106566429138,0.43646305799484253,False
A,71011,71011|71012|71013,N,880000,0,2,2,0.3600815236568451,0.6448343992233276,0.9869652986526489,0.6604301333427429,False
A,71011,71011|71012|71013,N,880000,27,0,0,0.32569411396980286,0.5626766085624695,0.9387202858924866,0.6265324950218201,False
A,71011,71011|71012|71013,N,880000,27,1,1,0.15790042281150818,0.35481396317481995,0.8455134630203247,0.4591556787490845,False
A,71011,71011|71012|71013,N,880000,27,2,2,0.38031089305877686,0.658697783946991,0.976132333278656,0.6411786675453186,False
A,71011,71011|71012|71013,N,880000,43,0,0,0.33305028080940247,0.5651704668998718,0.9475412368774414,0.6272499561309814,False
A,71011,71011|71012|71013,N,880000,43,1,1,0.1594695895910263,0.35512611269950867,0.8514586687088013,0.46712827682495117,False
A,71011,71011|71012|71013,N,880000,43,2,2,0.37849774956703186,0.6553576588630676,0.9800623059272766,0.6513909101486206,False
A,71011,71011|71012|71013,N,880000,59,0,0,0.33836594223976135,0.5672461986541748,0.9574073553085327,0.6235437393188477,False
A,71011,71011|71012|71013,N,880000,59,1,1,0.16915665566921234,0.372357040643692,0.8725429773330688,0.4939635097980499,False
A,71011,71011|71012|71013,N,880000,59,2,2,0.3750433921813965,0.6490969061851501,0.9794947504997253,0.6583096981048584,False
A,71011,71011|71012|71013,N,880000,79,0,0,0.33667659759521484,0.5651751160621643,0.9423617124557495,0.6031380891799927,False
A,71011,71011|71012|71013,N,880000,79,1,1,0.18244171142578125,0.3967759311199188,0.8921957015991211,0.5227490067481995,False
A,71011,71011|71012|71013,N,880000,79,2,2,0.36347082257270813,0.6331432461738586,0.9715680480003357,0.6515079736709595,False
A,71011,71011|71012|71013,N,880000,119,0,0,0.21462000906467438,0.4432986080646515,0.9560723304748535,0.6321677565574646,False
A,71011,71011|71012|71013,N,880000,119,1,1,0.16381561756134033,0.36187875270843506,0.7320228815078735,0.36928629875183105,False
A,71011,71011|71012|71013,N,880000,119,2,2,0.3798571527004242,0.6520283818244934,0.9800136089324951,0.6467520594596863,False
A,71011,71011|71012|71013,N,880001,0,0,0,0.26300254464149475,0.5226693153381348,0.9692130088806152,0.6187006235122681,False
A,71011,71011|71012|71013,N,880001,0,1,1,0.1518315076828003,0.3502103388309479,0.8305279016494751,0.445084810256958,False
A,71011,71011|71012|71013,N,880001,0,2,2,0.3600815236568451,0.6448343992233276,0.9869652986526489,0.6604301333427429,False
A,71011,71011|71012|71013,N,880001,27,0,0,0.3170328736305237,0.5502467751502991,0.9600614905357361,0.6317384243011475,False
A,71011,71011|71012|71013,N,880001,27,1,1,0.15242156386375427,0.3398517668247223,0.8561527729034424,0.4738798141479492,False
