id,status,priority,claim_or_asset,authoritative_source,allowed_use,notes
E01,CONFIRMED,P1_CORE,Early post-failure advantage versus MAPPO at RMST80,docs/statistics/P1B_DECISION_MEMO_V1_1.md,Main paper,"Full 11.81 vs MAPPO 15.51; all 3 seed deltas negative"
E02,CONFIRMED,P1_CORE,Full-horizon recovery is competitive not uniformly superior,docs/statistics/P1B_DECISION_MEMO_V1_1.md,Main paper,"RMST220 Full 14.47; HAPPO 14.14; mixed seed deltas"
E03,CONFIRMED,P2_SUPPORTING,Gate Prior improves cross-seed optimization stability,docs/P0_PROVENANCE_LOCK_V1_6_PROPOSED.md,Main supporting evidence,"Conditional contribution; do not call necessary or runtime adaptive"
E04,CONFIRMED,P2_SUPPORTING,Task-Support has empirical relational benefit,docs/P0_PROVENANCE_LOCK_V1_6_PROPOSED.md,Main supporting evidence,"No post-failure reorganization mechanism claim"
E05,CONFIRMED,P3_BOUNDARY,OOD transfer is distribution-dependent,docs/statistics/p3a_ood_results_v1_1/p3a_ood_stats_lock_memo.md,Compact main boundary plus Supplementary,"Gate C wording is internal and must not be headline prose"
E06,CONFIRMED,P4_DIAGNOSTIC,Role-Pair Modulation has limited independent benefit,docs/statistics/P1B_DECISION_MEMO_V1_1.md,One-time disclosure / Supplementary,"Not a core innovation"
E07,CONFIRMED,P4_DIAGNOSTIC,Maneuver OOD RMST80 ceiling saturation,docs/statistics/p3a_ood_results_v1_1/p3a_ood_stats_lock_memo.md,Supplementary / concise boundary note,"Not evidence of equivalence"
E08,CONFLICTED,P4_DIAGNOSTIC,Five-seed fixed-update-60 main result,docs/gate1_safety_fx60_manuscript_consistency_audit.md,Historical only,"Superseded for current v1.6 narrative"
E09,UNSUPPORTED,P3_BOUNDARY,Real 6DOF JSBSim/radar/missile/human-UAV validation,docs/submission_action_register.md,Do not claim,"Explicitly blocked/not evaluated"
E10,UNSUPPORTED,P2_SUPPORTING,External learned-communication baseline superiority,docs/paper_assets_v1_5/paper_review_v1_6.md,Do not claim,"Baseline absent"
