file,line,issue_type,severity,original_text,replacement_text,evidence_source,status
main.tex,24,mechanism_fact,P0,"constructs separate perception, communication, and dynamic task-support relations","constructs separate perception, communication, and task-support relations (task-support is a static task-dependent relation mask, not a dynamic gate)",TASK_SUPPORT_MECHANISM_PROTOCOL Addendum C: no post-failure activation increase; pre 0.141→early 0.092,fixed
main.tex,24,experiment_claim,P0,"improves post-failure kill-chain recovery over no-graph and single-graph baselines under a five-seed fixed-budget evaluation. The full method achieves an 88.6% recovery rate, compared with 53.2% ... 21.8% ...","achieves near-saturated recovery reliability (0.971±0.021) while reducing post-failure recovery latency by ~38%/34%/59% vs MAPPO/HAPPO/param-matched (3 training seeds, 10,800-episode held-out)",canonical_results_v1_5 table1_held_out (locked),fixed
main.tex,24,experiment_claim,P0,Mechanism ablations show that removing role-pair-conditioned message gating significantly degrades recovery,Ablations show Gate Prior is a strong contributor (recovery 0.972→0.772 without it); Task-Support contributes empirically (0.972→0.892); role-pair modulation shows no consistent independent gain (0.972→0.990 without it),canonical table2_ablation (locked),fixed
main.tex,24,experiment_claim,P0,removing task-support relations lowers mean recovery with stronger seed-level heterogeneity,removing task-support relations lowers held-out recovery (0.972→0.892) and increases recovery latency (10.8→15.0),canonical table2_ablation (locked),fixed
main.tex,24,mechanism_fact,P1,performs role-pair-conditioned message propagation under centralized training and decentralized execution,applies state-dependent edge-feature-modulated attention over multi-relation graphs (a static role-pair modulation is retained as an auxiliary component),RPG REMOVE/simplify verdict (robustness/efficiency locks),fixed
main.tex,15,contribution_level,P2,\title{Multi-Relation Role Graph Reinforcement Learning for Heterogeneous UAV Kill-Chain Recovery under Limited Communication and Intermittent Sensing},\title{Task-Graph-Driven Multi-Relation Coordination for Fast Post-Failure Recovery in Multi-UAV Semantic Search},"PAPER_RESTRUCTURE_MAP §1; RPG is auxiliary, task-graph is the core narrative",open
01_introduction.tex,9,experiment_claim,P0,the multi-relation policy restores the kill chain more reliably than no-graph and single-graph baselines under a five-seed fixed-budget evaluation,"the multi-relation policy reaches near-saturated recovery reliability (0.971±0.021, 3 seeds) and restores the kill chain substantially faster than MAPPO/HAPPO/param-matched baselines",canonical table1_held_out,fixed
01_introduction.tex,15,experiment_claim,P0,"\item We provide a five-seed fixed-budget evidence chain showing improved relay-failure recovery over no-graph and single-graph baselines, supported by seed-aware bootstrap, mechanism ablations, and failure-aligned analysis.","\item We provide a locked three-seed evidence chain (10,800-episode held-out, 10,500-episode robustness, efficiency profiling) showing near-saturated recovery reliability with substantially lower post-failure recovery latency, plus Gate Prior mechanism analysis.",locked evidence chain (held-out/robustness/efficiency/gate-prior locks),fixed
01_introduction.tex,13,contribution_level,P2,"\item We propose a multi-relation role graph policy with perception, communication, task-support relations, and role-pair-conditioned message propagation for decentralized actors.",\item We propose a task-graph-driven multi-relation graph policy (perception/communication/task-support relations with state-dependent edge-feature-modulated attention) for decentralized actors; a static role-pair modulation is retained as an auxiliary component.,PAPER_RESTRUCTURE_MAP §14 (contribution 1),open
04_method.tex,13,contribution_level,P1,"Role-pair-conditioned message propagation is used so that messages can depend on sender role, receiver role, and relation type. This is the key distinction from a single homogeneous graph encoder.",State-dependent edge-feature-modulated attention over separate relation channels is used so messages depend on relation type and edge features; role-pair modulation is a static auxiliary modulation. The key distinction from a homogeneous encoder is the multi-relation task-graph structure.,RPG REMOVE/simplify; edge-feature modulation is the claimed mechanism,fixed
04_method.tex,28,contribution_level,P1,"\caption{Multi-relation role graph. Perception, communication, task-support, and attack-window relations have different semantics, while role-pair-conditioned messages control information flow between heterogeneous platforms.}","\caption{Multi-relation task graph. Perception, communication, and task-support relations have different semantics and are processed by state-dependent, edge-feature-modulated attention; task-support acts as a task-dependent relation mask over delivered communication.}","TASK_SUPPORT protocol: task-support is a relational mask over delivered communication, not an independent channel",fixed
05_experiments.tex,7,number_scope,P0,fixed-budget checkpoint rule ... 60 safety-continuation PPO updates ... actor_critic_update_0060.pt ... five training seeds and 100 matched test episodes per seed,"replace with the locked protocol: 3 training seeds × 977 PPO updates, held-out base_seed 745669, 2 scenarios × 4 windows × 100 episodes/seed (10,800-episode held-out), robustness base_seed 946804 (10,500 episodes), efficiency profiling locked",held-out/robustness/efficiency protocols (frozen),deprecated-section-rebuild
