method,variant,cohort,role,n,comparator,reliability_verdict,reliability_observation,historical_status,evidence
Original DRTP,adaptive topology sampler,formal_2301_2305,A-line formal evidence,5,UTR,RELIABILITY_MIXED,All five formal seeds improved the frozen OOD mean endpoint; this cohort alone does not establish cross-cohort reliability.,FORMAL_CONFIRMATION_PASS_SEED_SENSITIVE,D:/File/Downloads/drtp_utr_q2_paired_5seed_cloud_10way.tar.gz::.../DRTP_UTR_Q2_FORMAL_DECISION.json
Original DRTP,adaptive topology sampler,independent_2401_2405,independent cross-tape reliability evidence,5,UTR,RELIABILITY_NOT_IMPROVED,The independently trained cohort is nonpositive on both frozen tapes (2/5 wins on J_pert_mean); it establishes cohort sensitivity rather than a universal performance claim.,COHORT_DIRECTION_PERSISTS_ACROSS_TAPES,results/analysis/drtp_cross_tape_reliability/DRTP_CROSS_TAPE_RELIABILITY_REPORT.md
S1 TR,bounded sampler-step trust region,development_2901_2903,stabilization pilot,3,Original DRTP,RELIABILITY_NOT_IMPROVED,"The mean improved locally, but the worst paired gain and dispersion protection failed.",S1_NO_GO,D:/File/Downloads/drtp_stabilization_s1_05m_results.tar.gz::.../S1_05M_GATE_REPORT.md
S2 Conservative,TR plus 0.20 uniform anchor,development_2901_2903,stabilization pilot,3,Original DRTP,RELIABILITY_MIXED,"This cohort removed the original catastrophic labels and reduced dispersion, but the preregistered seed-reliability gate failed and there was no independent replication.",S2_NO_GO / STABILIZATION_LINE_CLOSED,D:/File/Downloads/drtp_stabilization_s2_05m_results.tar.gz::.../S2_05M_GATE_REPORT.md
Conservative-DRTP R1,S2-style conservative sampler replication,replication_3001_3005,independent replication,5,Original DRTP,RELIABILITY_NOT_IMPROVED,The apparent S2 protection reversed: a new catastrophic seed appeared and dispersion increased.,R1_NO_GO,D:/File/Downloads/drtp_stable_r1_1m_results.tar.gz::.../R1_GATE_REPORT.md
KLR,post-step actor rollback on KL alarm,pilot_3101_3103,development pilot,3,Original DRTP,RELIABILITY_MIXED,"Lower-tail gain was visible locally, but the strong original seed lost upper-tail performance.",PILOT_NO_GO,D:/File/Downloads/drtp_stable_v2_pilot_05m_results.tar.gz::.../PILOT_GATE_REPORT.md
KLR,post-step actor rollback on KL alarm,final_A_3701_3705,final replication cohort A,5,Original DRTP,RELIABILITY_NOT_IMPROVED,One newly catastrophic KLR seed and wider paired-gain dispersion.,KLR_FINAL_REPLICATION_NO_GO_PERMANENTLY_CLOSED,D:/File/Downloads/drtp_klr_final_replication_p3_05m_results.tar.gz::.../KLR_FINAL_GATE_REPORT.md
KLR,post-step actor rollback on KL alarm,final_B_3706_3710,final replication cohort B,5,Original DRTP,RELIABILITY_NOT_IMPROVED,One newly catastrophic KLR seed and wider paired-gain dispersion despite a positive cohort mean.,KLR_FINAL_REPLICATION_NO_GO_PERMANENTLY_CLOSED,D:/File/Downloads/drtp_klr_final_replication_p3_05m_results.tar.gz::.../KLR_FINAL_GATE_REPORT.md
KLB,gentler KL actor-update guard,pilot_3201_3203,development pilot,3,Original DRTP,RELIABILITY_NOT_IMPROVED,No seed was rescued; safety and mean retention failed.,D5_PILOT_NO_GO,D:/File/Downloads/drtp_stable_v2_d5_pilot_05m_results.tar.gz::.../D5_GATE_REPORT.md
PP-DRTP,paired-probe sampler diagnosis,P3_3401_3403,development pilot,3,Original DRTP,RELIABILITY_MIXED,"The local rescue signal was positive, but upper-tail retention was not established in this small cohort.",PP_PILOT_NO_GO,D:/File/Downloads/pp_drtp_p3_pilot_05m_results.tar.gz::.../P3_GATE_REPORT.md
PP-DRTP,paired-probe sampler diagnosis,P4_3501_3505,independent validation,5,Original DRTP,RELIABILITY_NOT_IMPROVED,The development signal reversed; two catastrophic candidates and worse dispersion were recorded.,P4_NO_GO,D:/File/Downloads/pp_drtp_p4_validation_05m_results.tar.gz::.../P4_GATE_REPORT.md
CV-DRTP,cross-validation population control,A_4301_4305,independent validation cohort A,5,Original DRTP,RELIABILITY_NOT_IMPROVED,Four new catastrophic CV trajectories and substantially wider dispersion.,CV_DRTP_PILOT_NO_GO_PERMANENTLY_CLOSED,C:/Users/96251/.codex/attachments/c6433e9a-6216-4396-9dc9-6ffcbc6c8031/pasted-text.txt
CV-DRTP,cross-validation population control,B_4306_4310,independent validation cohort B,5,Original DRTP,RELIABILITY_NOT_IMPROVED,All five CV trajectories were lower than Original DRTP and newly catastrophic.,CV_DRTP_PILOT_NO_GO_PERMANENTLY_CLOSED,C:/Users/96251/.codex/attachments/c6433e9a-6216-4396-9dc9-6ffcbc6c8031/pasted-text.txt
Reliable-DRTP ensemble,uniform K=3 member policy pool,A_bundles,ensemble validation cohort A,3,ensemble UTR,RELIABILITY_NOT_IMPROVED,"Mean gain was positive, but one catastrophic bundle and upper-tail loss failed the cohort gate.",RELIABILITY_ENSEMBLE_P1_NO_GO,C:/Users/96251/.codex/attachments/bb20740c-2aea-410a-939f-c529d0c0bd81/pasted-text.txt
Reliable-DRTP ensemble,uniform K=3 member policy pool,B_bundles,ensemble validation cohort B,3,ensemble UTR,RELIABILITY_NOT_IMPROVED,All three bundles were lower than ensemble UTR and two were catastrophic.,RELIABILITY_ENSEMBLE_P1_NO_GO,C:/Users/96251/.codex/attachments/bb20740c-2aea-410a-939f-c529d0c0bd81/pasted-text.txt
Group-weighted PPO,uniform collection plus bounded group-weighted actor loss,C2_A_4801_4805,fresh pilot cohort A,5,ordinary UTR PPO,RELIABILITY_NOT_IMPROVED,Two new catastrophic weighted trajectories and wider dispersion.,C2_NO_GO,D:/File/Downloads/drtp_c2_group_weighted_ppo_pilot_05m_results.tar.gz::.../C2_GATE_REPORT.md
Group-weighted PPO,uniform collection plus bounded group-weighted actor loss,C2_B_4806_4810,fresh pilot cohort B,5,ordinary UTR PPO,RELIABILITY_NOT_IMPROVED,Three new catastrophic weighted trajectories and later 0.5M-to-1M sign reversals; no reliable performance accumulation claim is available.,C2_NO_GO; 1M diagnostic did not yield an actionable mechanism,D:/File/Downloads/drtp_c2_group_weighted_ppo_pilot_05m_results.tar.gz; D:/File/Downloads/drtp_c2_m3_posthoc_evaluation_results.tar.gz
