artifact,artifact_type,source_data,source_rows,generator_script,status,notes
results/latex_final_comm_300_table.tex,table,results/final_comm_300_summary.csv,12,scripts/make_latex_tables.py,OK,Final 300-episode cross-radius main table.
results/latex_final_300_paired_ci_table.tex,table,results/final_300_paired_statistics.csv,16,scripts/analyze_final_300_statistics.py,OK,Seed-paired descriptive confidence interval table.
results/latex_comm_dropout_robustness_table.tex,table,results/comm_dropout_robustness_summary.csv,18,scripts/evaluate_comm_dropout_robustness.py,OK,Generated during communication-dropout diagnostic evaluation.
results/latex_comm_dropout_paired_ci_table.tex,table,results/comm_dropout_paired_statistics.csv,24,scripts/analyze_comm_dropout_statistics.py,OK,Communication-dropout seed-paired descriptive statistics.
results/latex_aggregate_robustness_table.tex,table,results/aggregate_robustness_summary.csv,6,scripts/analyze_aggregate_robustness.py,OK,Aggregate cross-condition robustness table.
results/latex_radius_interpolation_table.tex,table,results/radius_interpolation_summary.csv,9,scripts/evaluate_radius_interpolation.py,OK,Communication-radius interpolation diagnostic table.
results/latex_ablation_comm_table.tex,table,results/paper_comm_results.csv,20,scripts/make_latex_tables.py,OK,Legacy 100-episode communication ablation table.
results/latex_main_comm_table.tex,table,results/paper_comm_results.csv,20,scripts/make_latex_tables.py,OK,Legacy main communication table retained for appendix/backward compatibility.
results/latex_speed_robustness_table.tex,table,results/speed_robustness_summary.csv,18,scripts/make_latex_tables.py,OK,Target-speed robustness table.
results/latex_edge_feature_ablation_table.tex,table,results/edge_feature_ablation_summary.csv,14,scripts/make_latex_tables.py,OK,Evaluation-time edge feature masking table.
results/latex_training_settings_table.tex,table,script_static,,scripts/make_latex_tables.py,OK,Training and evaluation settings are encoded in the table generator.
results/figures/final_300_success_rate.png,figure,results/final_comm_300_summary.csv,12,scripts/plot_final_300_results.py,OK,Final 300-episode success-rate figure.
results/figures/final_300_collision_rate.png,figure,results/final_comm_300_summary.csv,12,scripts/plot_final_300_results.py,OK,Final 300-episode collision-rate figure.
results/figures/comm_success_rate.png,figure,results/paper_comm_results.csv,20,scripts/plot_comm_results.py,OK,Legacy communication-radius success-rate figure.
results/figures/comm_collision_rate.png,figure,results/paper_comm_results.csv,20,scripts/plot_comm_results.py,OK,Legacy communication-radius collision-rate figure.
results/figures/per_seed_success_scatter.png,figure,results/per_seed_comm_appendix.csv,36,scripts/build_paper_appendix.py,OK,Per-seed success-rate appendix scatter.
results/figures/per_seed_collision_scatter.png,figure,results/per_seed_comm_appendix.csv,36,scripts/build_paper_appendix.py,OK,Per-seed collision-rate appendix scatter.
results/figures/edge_feature_ablation_delta.png,figure,results/edge_feature_ablation_summary.csv,14,scripts/plot_edge_feature_ablation.py,OK,Edge feature masking delta figure.
results/figures/speed_robustness_success_r4.png,figure,results/speed_robustness_summary.csv,18,scripts/plot_speed_robustness.py,OK,Target-speed success-rate robustness at radius 4.
results/figures/speed_robustness_collision_r4.png,figure,results/speed_robustness_summary.csv,18,scripts/plot_speed_robustness.py,OK,Target-speed collision-rate robustness at radius 4.
results/figures/speed_robustness_success_r8.png,figure,results/speed_robustness_summary.csv,18,scripts/plot_speed_robustness.py,OK,Target-speed success-rate robustness at radius 8.
results/figures/speed_robustness_collision_r8.png,figure,results/speed_robustness_summary.csv,18,scripts/plot_speed_robustness.py,OK,Target-speed collision-rate robustness at radius 8.
