name,path,expected_rows,actual_rows,expected_columns,actual_columns,domain_checks,status,notes
final_main_raw,results/final_comm_300_eval.csv,36,36,14,14,"method=EA-RG-MAPPO-S,GAT-MAPPO,MAPPO; seed=0,1,2; episodes=300; target_policy=mixed; target_speed=0.75; radius=10,4,6,8",ok,Raw final 300-episode rows.
final_main_summary,results/final_comm_300_summary.csv,12,12,12,12,"method=EA-RG-MAPPO-S,GAT-MAPPO,MAPPO; episodes=300; radius=10,4,6,8; n=3",ok,Aggregated final 300-episode rows.
final_main_paired_statistics,results/final_300_paired_statistics.csv,16,16,11,11,"baseline=GAT-MAPPO,MAPPO; radius=10,4,6,8; metric=collision_reduction,success_gain; n=3",ok,Seed-paired final descriptive statistics.
comm_dropout_raw,results/comm_dropout_robustness_eval.csv,54,54,15,15,"method=EA-RG-MAPPO-S,GAT-MAPPO,MAPPO; seed=0,1,2; episodes=50; target_policy=mixed; target_speed=0.75; radius=4,8; comm_dropout_prob=0,0.25,0.5",ok,Raw communication-dropout diagnostic rows.
comm_dropout_summary,results/comm_dropout_robustness_summary.csv,18,18,13,13,"method=EA-RG-MAPPO-S,GAT-MAPPO,MAPPO; episodes=50; radius=4,8; comm_dropout_prob=0,0.25,0.5; n=3",ok,Aggregated communication-dropout diagnostic rows.
comm_dropout_paired_statistics,results/comm_dropout_paired_statistics.csv,24,24,12,12,"baseline=GAT-MAPPO,MAPPO; radius=4,8; comm_dropout_prob=0,0.25,0.5; metric=collision_reduction,success_gain; n=3",ok,Seed-paired dropout descriptive statistics.
aggregate_robustness,results/aggregate_robustness_summary.csv,6,6,11,11,"scope=dropout_diagnostic,final_cross_radius; method=EA-RG-MAPPO-S,GAT-MAPPO,MAPPO; n_conditions=4,6",ok,Cross-condition aggregate robustness summary.
claim_evidence_matrix,results/claim_evidence_matrix.csv,9,9,8,8,"claim_id=C1,C2,C3,C4,C5,C6,C7,C8,C9; status=ok",ok,Generated paper claim-to-evidence matrix.
manuscript_evidence_reference_audit,results/manuscript_evidence_reference_audit.csv,51,51,7,7,"claim_id=C1,C2,C3,C4,C5,C6,C7,C8,C9; language=en,zh; status=ok",ok,Generated manuscript evidence-reference audit.
bilingual_numeric_consistency_audit,results/bilingual_numeric_consistency_audit.csv,47,47,7,7,"claim_id=C1,C2,C3,C4,C5,C6,C9; status=ok",ok,Generated bilingual manuscript numeric consistency audit.
latex_reference_integrity_audit,results/latex_reference_integrity_audit.csv,86,86,5,5,"project=chinese,english; status=ok",ok,Generated bilingual LaTeX label/reference integrity audit.
bilingual_manuscript_completeness_audit,results/bilingual_manuscript_completeness_audit.csv,36,36,5,5,"project=chinese,english; status=action_item,ok",ok,Generated bilingual manuscript completeness audit.
submission_action_register,results/submission_action_register.csv,10,10,7,7,"item_id=A1,A10,A2,A3,A4,A5,A6,A7,A8,A9",ok,Generated submission-facing action item register.
experiment_extension_decision_plan,results/experiment_extension_decision_plan.csv,7,7,10,10,"option_id=E1,E2,E3,E4,E5,E6,E7",ok,Generated optional next-experiment decision plan.
reproducibility_checksum_manifest,results/reproducibility_checksum_manifest.csv,184,184,4,4,,ok,Generated stable artifact SHA256/size manifest.
reproducibility_checksum_verification,results/reproducibility_checksum_verification.csv,184,184,8,8,status=OK,ok,Generated checksum manifest verification rows.
radius_interpolation_raw,results/radius_interpolation_eval.csv,27,27,14,14,"method=EA-RG-MAPPO-S,GAT-MAPPO,MAPPO; seed=0,1,2; episodes=50; target_policy=mixed; target_speed=0.75; radius=5,7,9",ok,Raw held-out communication-radius interpolation rows.
radius_interpolation_summary,results/radius_interpolation_summary.csv,9,9,12,12,"method=EA-RG-MAPPO-S,GAT-MAPPO,MAPPO; episodes=50; radius=5,7,9; n=3",ok,Aggregated held-out communication-radius interpolation rows.
legacy_comm_ablation,results/paper_comm_results.csv,20,20,11,11,"method=GAT-MAPPO,MAPPO,RI edge fixed-r8,RI edge staged,RI no-edge; result_type=mean_std; radius=10,4,6,8",ok,Legacy 100-episode communication ablation context.
per_seed_appendix,results/per_seed_comm_appendix.csv,36,36,7,7,"method=EA-RG-MAPPO-S,GAT-MAPPO,MAPPO; seed=0,1,2; radius=10,4,6,8",ok,Per-seed appendix scatter data.
speed_robustness_raw,results/speed_robustness_eval.csv,54,54,14,14,"method=EA-RG-MAPPO-S,GAT-MAPPO,MAPPO; seed=0,1,2; episodes=100; target_policy=mixed; target_speed=0.6,0.75,0.9; radius=4,8",ok,Raw target-speed robustness rows.
speed_robustness_summary,results/speed_robustness_summary.csv,18,18,13,13,"method=EA-RG-MAPPO-S,GAT-MAPPO,MAPPO; episodes=100; radius=4,8; target_speed=0.6,0.75,0.9; n=3",ok,Aggregated target-speed robustness rows.
edge_feature_ablation_raw,results/edge_feature_ablation_eval.csv,42,42,16,16,"method=EA-RG-MAPPO-S; seed=0,1,2; episodes=30; target_policy=mixed; target_speed=0.75; radius=4,8",ok,Raw evaluation-time edge-feature masking rows.
edge_feature_ablation_summary,results/edge_feature_ablation_summary.csv,14,14,14,14,"radius=4,8; episodes=30; n=3",ok,Aggregated evaluation-time edge-feature masking rows.
figure_asset_audit,results/figure_asset_audit.csv,27,27,8,8,status=ok,ok,Generated figure technical audit.
evaluation_budget_audit,results/evaluation_budget_audit.csv,6,6,10,10,status=ok,ok,Generated evaluation-budget audit.
method_naming_audit,results/method_naming_audit.csv,28,28,6,6,status=ok,ok,Generated method-name consistency audit.
lag_jsbsim_migration_probe,results/lag_jsbsim_migration_probe.csv,29,29,4,4,,ok,LAG/JSBSim migration-readiness probe.
lag_role_graph_adapter_test,results/lag_role_graph_adapter_test.csv,26,26,3,3,status=ok,ok,LAG-like state-to-role-graph adapter test.
lag_role_graph_wrapper_test,results/lag_role_graph_wrapper_test.csv,11,11,3,3,status=ok,ok,LAG-like reset/step graph wrapper test.
intercept_3d_smoke_test,results/intercept_3d_smoke_test.csv,15,15,13,13,"policy=geometric,geometric_dropout,random; seed=0,1,2,3,4",ok,3DOF heterogeneous interception environment smoke test.
intercept_3d_policy_eval,results/intercept_3d_policy_eval.csv,3,3,39,39,method=EA-RG-MAPPO-S; policy_source=checkpoint; episodes=3; target_policy=evasive; communication_range_scale=1; communication_dropout_prob=0; message_delay_steps=0; radar_dropout_prob=0; failed_blue_agent=-1; node_failure_start_step=0; node_failure_duration_steps=0; graph_relation_ablation=none; graph_message_ablation=none; graph_input_ablation=none; deterministic=True,ok,3DOF checkpoint evaluation smoke diagnostic; not a paper learning result.
